"lon","lat"
-121.92,36.63
-121.92,36.63
-121.92,36.631
-121.92,36.631
-121.92,36.632
-121.92,36.633
-121.92,36.633
-121.92,36.635
-121.92,36.635
-121.92,36.637
-121.93,36.637
-121.93,36.638
-121.93,36.638
-121.93,36.638
-121.93,36.638
-121.93,36.638
-121.94,36.639
-121.94,36.639
-121.94,36.638
-121.94,36.638
-121.94,36.638
-121.94,36.636
-121.94,36.635
-121.94,36.634
-121.94,36.631
-121.94,36.63
-121.94,36.629
-121.94,36.628
-121.94,36.628
-121.94,36.627
-121.94,36.625
-121.94,36.625
-121.94,36.623
-121.94,36.622
-121.94,36.618
-121.95,36.615
-121.95,36.612
-121.95,36.612
-121.95,36.611
-121.95,36.611
-121.95,36.611
-121.96,36.612
-121.96,36.612
-121.96,36.612
-121.96,36.611
-121.96,36.611
-121.96,36.61
-121.96,36.608
-121.96,36.607
-121.96,36.606
-121.96,36.605
-121.96,36.604
-121.96,36.603
-121.96,36.602
-121.96,36.6
-121.97,36.599
-121.96,36.597
-121.96,36.596
-121.97,36.594
-121.97,36.592
-121.97,36.589
-121.97,36.588
-121.97,36.588
-121.97,36.586
-121.97,36.585
-121.97,36.585
-121.97,36.584
-121.97,36.584
-121.97,36.585
-121.97,36.585
-121.97,36.585
-121.98,36.584
-121.98,36.583
-121.98,36.583
-121.98,36.583
-121.98,36.582
-121.98,36.581
-121.98,36.581
-121.98,36.58
-121.98,36.576
-121.98,36.575
-121.97,36.574
-121.97,36.573
-121.97,36.572
-121.97,36.571
-121.97,36.57
-121.97,36.569
-121.97,36.569
-121.97,36.568
-121.97,36.568
-121.97,36.567
-121.97,36.567
-121.97,36.567
-121.97,36.566
-121.96,36.565
-121.96,36.564
-121.96,36.564
-121.96,36.564
-121.96,36.56
-121.95,36.56
-121.95,36.559
-121.95,36.559
-121.95,36.559
-121.95,36.56
-121.95,36.56
-121.95,36.561
-121.95,36.565
-121.95,36.565
-121.95,36.565
-121.95,36.564
-121.94,36.564
-121.94,36.564
-121.94,36.562
-121.94,36.561
-121.94,36.56
-121.94,36.56
-121.94,36.56
-121.94,36.561
-121.94,36.561
-121.94,36.559
-121.93,36.559
-121.93,36.556
-121.93,36.555
-121.93,36.553
-121.93,36.552
-121.93,36.548
-121.93,36.547
-121.93,36.547
-121.93,36.547
-121.93,36.545
-121.94,36.545
-121.93,36.539
-121.93,36.538
-121.93,36.538
-121.93,36.537
-121.93,36.536
-121.93,36.535
-121.93,36.533
-121.93,36.532
-121.93,36.531
-121.93,36.528
-121.93,36.526
-121.93,36.525
-121.93,36.525
-121.93,36.525
-121.93,36.525
-121.94,36.525
-121.94,36.524
-121.94,36.525
-121.94,36.525
-121.94,36.524
-121.94,36.523
-121.94,36.522
-121.94,36.522
-121.94,36.523
-121.94,36.523
-121.94,36.522
-121.94,36.523
-121.94,36.523
-121.95,36.523
-121.95,36.524
-121.95,36.524
-121.95,36.524
-121.95,36.525
-121.96,36.525
-121.96,36.525
-121.96,36.524
-121.96,36.52
-121.96,36.52
-121.96,36.517
-121.96,36.517
-121.95,36.517
-121.95,36.514
-121.95,36.514
-121.95,36.513
-121.95,36.513
-121.95,36.513
-121.95,36.513
-121.95,36.512
-121.95,36.512
-121.95,36.511
-121.94,36.511
-121.94,36.51
-121.94,36.509
-121.94,36.507
-121.94,36.505
-121.94,36.503
-121.94,36.501
-121.94,36.5
-121.94,36.5
-121.94,36.499
-121.94,36.499
-121.94,36.498
-121.94,36.498
-121.94,36.498
-121.94,36.497
-121.94,36.497
-121.94,36.496
-121.94,36.496
-121.94,36.495
-121.94,36.495
-121.95,36.493
-121.95,36.492
-121.95,36.492
-121.94,36.49
-121.94,36.49
-121.94,36.489
-121.94,36.488
-121.94,36.486
-121.94,36.485
-121.94,36.483
-121.94,36.482
-121.94,36.48
-121.94,36.476
-121.94,36.475
-121.94,36.474
-121.94,36.473
-121.94,36.471
-121.94,36.471
-121.94,36.47
-121.94,36.469
-121.94,36.469
-121.94,36.469
-121.93,36.468
-121.93,36.465
-121.93,36.465
-121.93,36.464
-121.93,36.463
-121.93,36.462
