"lon","lat"
NaN,NaN
-124.11,40.904
-124.11,40.905
NaN,NaN
-124.1,40.892
-124.1,40.893
NaN,NaN
-124.1,40.881
-124.09,40.882
NaN,NaN
-124.09,40.87
-124.09,40.871
NaN,NaN
-124.08,40.859
-124.08,40.86
NaN,NaN
-124.08,40.848
-124.08,40.849
NaN,NaN
-124.07,40.837
-124.07,40.837
NaN,NaN
-124.23,40.759
-124.23,40.76
NaN,NaN
-124.22,40.749
-124.22,40.751
NaN,NaN
-124.21,40.747
-124.21,40.748
NaN,NaN
-124.2,40.738
-124.2,40.739
NaN,NaN
-124.19,40.728
-124.19,40.729
NaN,NaN
-124.43,40.37
-124.43,40.371
NaN,NaN
-124.28,40.186
-124.28,40.187
NaN,NaN
-124.19,40.126
-124.19,40.127
NaN,NaN
-124.12,40.075
-124.11,40.076
NaN,NaN
-123.66,38.967
-123.67,38.968
-123.68,38.974
-123.68,38.98
-123.7,38.995
NaN,NaN
-123.66,38.959
-123.66,38.961
-123.68,38.974
-123.7,38.982
-123.7,38.986
NaN,NaN
-122.89,38.941
-122.89,38.941
-122.87,38.949
-122.86,38.957
-122.86,38.958
NaN,NaN
-123.56,38.862
-123.57,38.862
-123.57,38.865
-123.59,38.89
-123.6,38.896
-123.62,38.915
-123.62,38.925
-123.63,38.935
-123.64,38.946
-123.65,38.952
-123.65,38.953
-123.66,38.959
-123.66,38.959
NaN,NaN
-121.96,38.842
-121.96,38.842
NaN,NaN
-121.96,38.842
-121.95,38.844
-121.95,38.846
-121.95,38.846
NaN,NaN
-121.85,38.746
-121.85,38.747
-121.85,38.749
-121.85,38.75
NaN,NaN
-122.34,38.662
-122.34,38.663
-122.35,38.665
NaN,NaN
-121.77,38.083
-121.77,38.089
-121.77,38.089
-121.77,38.088
NaN,NaN
-122.08,38.072
-122.08,38.071
-122.08,38.068
-122.09,38.069
NaN,NaN
-122.15,37.767
-122.15,37.769
-122.16,37.773
-122.17,37.784
-122.17,37.785
-122.18,37.785
NaN,NaN
-122.1,37.693
-122.11,37.695
-122.13,37.71
-122.13,37.715
-122.13,37.724
-122.13,37.73
-122.13,37.732
NaN,NaN
-121.88,37.673
-121.88,37.675
-121.88,37.683
NaN,NaN
-121.88,37.673
-121.89,37.675
-121.89,37.689
-121.9,37.696
-121.9,37.7
-121.9,37.71
-121.91,37.72
-121.92,37.729
NaN,NaN
-121.92,37.666
-121.92,37.667
-121.94,37.687
-121.94,37.687
NaN,NaN
-121.87,37.593
-121.88,37.594
-121.89,37.605
-121.89,37.609
NaN,NaN
-122.51,37.532
-122.51,37.533
-122.51,37.536
NaN,NaN
-121.85,37.527
-121.84,37.528
NaN,NaN
-121.85,37.527
-121.85,37.532
-121.86,37.543
-121.87,37.552
-121.87,37.557
-121.87,37.558
-121.87,37.56
NaN,NaN
-121.84,37.525
-121.85,37.526
-121.85,37.527
NaN,NaN
